Fname,Lname,Mname,Age,Ssn,Gender,Active,Suffix,Income,Health_rating,Married,Purchased
Craig,Knight,,98,727-56-1116,1,0,,87533.2,92,0,0
Gregory,Brown,,30,807-28-8641,0,0,,146955.19,59,0,0
George,Adams,,84,683-44-1796,1,1,,183396.97,30,0,1
Lindsey,Torres,,54,747-83-5354,0,0,,130099.09,54,1,1
Angela,Glenn,,69,343-18-1403,0,1,,196295.82,60,1,1
Jared,Hardy,,33,116-43-1609,1,0,,169041.47,28,0,1
Erika,Guerrero,,49,139-93-8105,0,1,,177267.27,38,1,1
Matthew,Morris,,62,622-46-6665,1,0,,102586.54,68,0,0
Vincent,Pena,,60,728-54-4705,0,1,,155220.43,70,0,1
Joseph,Estrada,,84,656-02-5363,0,1,,184208.7,89,1,1
Stephen,Cunningham,,39,502-82-6348,0,1,,140325.74,99,1,0
Todd,Delacruz,,71,566-49-3381,0,0,,168394.73,56,1,1
Isaac,Obrien,,56,864-39-4164,0,0,,170955.02,76,0,1
Andres,Miller,,44,018-06-7422,1,0,,134726.16,26,1,1
Jose,Lucas,,85,055-08-6760,1,1,,103459.15,72,1,1
Todd,Pollard,,72,657-34-9321,1,0,,99456.82,23,0,1
Jacob,Chandler,,63,646-29-0895,1,0,,139338.31,90,0,0
Corey,Powell,,83,438-92-4292,0,1,,171838.04,1,0,1
Bridget,Marks,,71,431-27-7013,0,0,,142938.24,79,1,1
Frank,Koch,,32,682-07-8156,0,0,,89474.18,66,1,0
Kathryn,Roberts,,97,715-75-5198,1,0,,50869.06,22,1,1
Brian,Moreno,,46,643-42-2210,0,0,,49747.3,5,1,1
Tiffany,Mitchell,,75,828-88-5372,0,0,,75517.47,37,0,1
Christopher,Moore,,30,587-55-5167,1,1,,77187.81,58,0,0
Thomas,Mcguire,,72,868-43-3489,0,1,,66178.54,29,1,1
Olivia,Olson,,97,560-54-9210,1,1,,47874.48,66,1,1
Gregory,Oconnell,,63,422-68-5550,0,0,,59770.27,84,1,0
Cody,Solomon,,20,827-27-1009,1,0,,76439.94,67,1,0
Samuel,Cohen,,31,184-45-3270,1,0,,66234.67,80,1,0
Miguel,Williams,,40,542-53-8832,0,1,,55667.56,77,0,0
Zoe,Brown,,31,458-52-8922,1,1,,67255.68,41,1,0
Alexis,Brown,,21,404-82-6000,0,0,,68950.1,53,0,0
Jamie,Harris,,72,533-51-4721,1,1,,66862.67,58,0,1
Steven,Ramirez,,20,885-48-6084,0,0,,58648.86,97,1,0
Ryan,Craig,,62,712-07-1864,0,0,,63799.01,29,0,1
Robert,Livingston,,38,855-48-6083,0,0,,45765.02,64,0,0
Matthew,Barnes,,48,833-81-6122,1,1,,76160.41,57,0,0
Philip,Weber,,89,688-15-0420,0,1,,74605.99,19,1,1
Joy,Cohen,,60,841-30-2450,0,0,,75275.97,26,1,1
Stephanie,Ross,,79,246-07-2289,1,0,,77597.73,31,0,1
Ross,Morrow,,65,432-11-8392,1,0,,43112.97,16,1,1
Emily,Graham,,26,412-09-8538,0,0,,53712.51,7,0,1
Susan,Moore,,34,329-73-9453,0,1,,77695.58,82,1,0
Timothy,Bradley,,62,519-06-7904,1,1,,54112.75,93,0,0
Maurice,Austin,,89,697-18-6226,0,1,,49538.97,57,0,1
Jennifer,Williams,,24,109-91-4339,1,0,,49157.36,16,0,1
Lori,Nunez,,39,680-86-5284,0,1,,77935.85,69,0,0
Lynn,Arnold,,29,563-13-7854,0,0,,55904.54,44,0,0
Aaron,Esparza,,47,793-10-2331,0,1,,56968.03,13,1,1
Dr.,Dwayne,,98,685-13-3209,0,1,,62096.05,65,1,1
Lynn,Weber,,34,829-84-7734,0,1,,70220.47,63,1,0
Andrea,Tran,,74,282-07-9862,0,0,,50643.36,71,0,0
Brett,Dean,,40,636-69-7668,1,0,,45965.17,94,0,0
Stephanie,Mccall,,99,862-72-1786,0,0,,75845.24,41,0,1
Ashley,Gibson,,25,128-40-7774,0,1,,74125.94,86,1,0
Steven,Petersen,,84,809-67-2325,1,0,,73711.86,38,1,1
Courtney,Brandt,,65,827-28-4344,1,1,,70322.83,54,0,1
Sandra,Wong,,36,316-66-2073,0,0,,40043.56,98,0,0
Evan,Franco,,98,385-36-8499,0,0,,47345.99,78,0,0
Victor,Williams,,43,868-58-7016,1,1,,77427.47,6,1,1
Shari,Peterson,,56,778-96-1127,0,1,,30362.8,42,0,0
Robert,Mcgee,,80,076-12-5175,0,0,,27916.42,72,0,0
Jamie,Baxter,,21,262-90-0554,0,1,,20467.8,94,1,0
Andre,Cook,,75,372-78-2621,0,1,,26771.05,84,0,0
Scott,Hall,,69,545-52-9451,1,1,,20908.08,7,1,1
Christopher,Hanson,,71,273-94-7667,1,1,,23810.79,63,0,0
Christopher,Scott,,69,830-31-1207,1,0,,30973.59,58,1,0
Nicholas,Garcia,,100,743-66-6132,1,1,,25245.93,27,0,1
Mr.,Lawrence,,63,646-99-8136,1,0,,30685.02,34,0,0
Misty,Jones,,62,680-33-4257,0,1,,31783.37,77,1,0
Susan,Davis,,78,457-70-9535,0,0,,32708.54,81,0,0
Kimberly,Cannon,,23,597-19-3357,0,0,,36048.82,1,1,1
Joseph,Flowers,,66,410-34-7476,1,1,,34971.69,55,0,0
Kevin,Meyers,,49,783-51-9388,1,1,,38654.82,97,1,0
Richard,Moyer,,24,387-53-6891,1,1,,32762.43,36,0,0
Jorge,Kelley,,93,157-52-4188,0,1,,38076.01,68,0,0
Jessica,Maddox,,62,661-81-6141,0,1,,30843.32,65,0,0
Isaac,Ortiz,,22,184-28-0089,1,1,,28146.55,50,1,0
Jason,Poole,,50,749-17-9486,1,1,,37887.23,66,1,0
Amanda,Walker,,66,711-20-8427,0,0,,22435.74,29,1,0
Matthew,Gross,,50,005-32-4409,0,1,,28392.3,36,0,0
Steven,Bailey,,41,010-70-1383,1,0,,39460.08,63,1,0
Kevin,Ruiz,,52,880-51-8820,1,1,,29029.82,92,0,0
Mrs.,Emily,,90,546-29-6394,0,1,,36948.23,50,0,0
Dawn,Smith,,59,471-65-5023,0,0,,25327.51,2,0,1
Miss,Christine,,68,315-51-6619,0,1,,31259.74,79,0,0
Amanda,Chambers,,73,776-87-4254,0,0,,33413.73,86,0,0
Candace,Cross,,50,341-28-3726,1,1,,33722.08,43,0,0
Cody,Downs,,57,024-40-9268,1,1,,26271.55,69,0,0
Julie,Walker,,34,256-60-6031,1,0,,35934.47,74,0,0
Robert,Wilson,,98,448-42-5975,0,0,,30864.05,5,0,1
Rodney,Rodriguez,,53,481-83-5156,1,0,,34563.0,73,0,0
Kimberly,Mcneil,,88,877-16-3212,1,1,,23667.54,32,1,0
Lisa,Hayes,,57,872-45-9896,1,1,,32283.36,52,0,0
Alicia,Wilson,,32,582-86-8649,1,0,,37248.13,69,1,0
Timothy,Harper,,28,498-64-0847,1,0,,25842.6,91,1,0
Lauren,Lawson,,64,345-75-6294,1,0,,21548.45,67,1,0
Stacey,Dixon,,79,795-96-6570,0,1,,34984.37,74,1,0
Tyler,Jimenez,,38,646-47-5740,1,1,,21126.14,41,1,0
Rachel,Cooper,,87,457-83-2525,1,1,,27581.51,37,1,0
